"","X","Y","tmin","date"
"1",-2.95638888888889,35.2763888888889,13.6,2021-01-08
"2",-5.34694444444444,35.8886111111111,11.6,2021-01-08
"3",-5.59888888888889,36.0138888888889,11.1,2021-01-08
"4",-4.48166666666667,36.7177777777778,10.6,2021-01-08
"5",-4.48222222222222,36.6661111111111,10.3,2021-01-08
"6",-5.155,36.4169444444444,10.2,2021-01-08
"7",-3.02055555555556,36.7472222222222,9.3,2021-01-08
"8",-2.70166666666667,36.6869444444444,9,2021-01-08
"9",-5.965,36.2455555555556,9,2021-01-08
"10",-2.35694444444444,36.8463888888889,8.4,2021-01-08
"11",-6.20555555555556,36.4655555555556,8.1,2021-01-08
"12",-6.25777777777778,36.4997222222222,8.1,2021-01-08
"13",0.167777777777778,38.7836111111111,7.8,2021-01-08
"14",1.38444444444444,38.8763888888889,7.5,2021-01-08
"15",-7.395,37.1947222222222,7,2021-01-08
"16",-1.58694444444444,37.4172222222222,6.9,2021-01-08
"17",3.47805555555556,39.7166666666667,6.9,2021-01-08
"18",-5.085,37.5161111111111,6.8,2021-01-08
"19",-6.05583333333333,36.7505555555556,6.8,2021-01-08
"20",-5.61138888888889,37.1644444444444,6.8,2021-01-08
"21",-6.3325,36.6388888888889,6.8,2021-01-08
"22",2.62527777777778,39.5552777777778,6.7,2021-01-08
"23",-5.87916666666667,37.4166666666667,6.7,2021-01-08
"24",3.01666666666667,39.7491666666667,6.6,2021-01-08
"25",4.21555555555556,39.8547222222222,6.4,2021-01-08
"26",-0.494166666666667,38.3725,6.3,2021-01-08
"27",-0.570833333333333,38.2827777777778,6.3,2021-01-08
"28",-0.805833333333333,37.7783333333333,6.2,2021-01-08
"29",2.73666666666667,39.5608333333333,6.2,2021-01-08
"30",-0.987777777777778,37.6011111111111,6.1,2021-01-08
"31",-4.77,37.1944444444444,5.9,2021-01-08
"32",-4.74833333333333,37.0294444444444,5.8,2021-01-08
"33",3.01916666666667,39.5216666666667,5.8,2021-01-08
"34",-6.91166666666667,37.2783333333333,5.7,2021-01-08
