fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,5995B,VEJER DE LA FRONTERA,CADIZ,7,-5.965,36.245555555555555,186
2021-01-06,1473A,PADRÓN,A CORUÑA,-1.3,-8.627222222222223,42.73833333333334,100
2021-01-06,1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",GIPUZKOA,0,-2.041111111111111,43.30638888888888,251
2021-01-06,9619,LA SEU D'URGELL,LLEIDA,-10.2,1.4630555555555556,42.35472222222222,677
2021-01-06,5427X,DOÑA MENCÍA,CORDOBA,3.7,-4.353888888888888,37.55611111111111,650
2021-01-06,1082,BILBAO AEROPUERTO,BIZKAIA,1.6,-2.906388888888889,43.29805555555556,42
2021-01-06,B569X,CAPDEPERA,ILLES BALEARS,7,3.4780555555555557,39.71666666666667,57
2021-01-06,7145D,CIEZA,MURCIA,-0.1,-1.3805555555555555,38.23277777777778,265
2021-01-06,5402,CÓRDOBA AEROPUERTO,CORDOBA,2.4,-4.846666666666667,37.848888888888894,90
2021-01-06,1387E,A CORUÑA AEROPUERTO,A CORUÑA,-2.5,-8.371944444444445,43.30694444444444,98
2021-01-06,5641X,ÉCIJA,SEVILLA,5.8,-5.085,37.51611111111111,130
2021-01-06,4148,VISO DEL MARQUÉS,CIUDAD REAL,-5.7,-3.5666666666666664,38.518055555555556,804
2021-01-06,1002Y,"BAZTAN, IRURITA",NAVARRA,-3.4,-1.5430555555555554,43.13583333333333,183
2021-01-06,6058I,ESTEPONA,MALAGA,9.3,-5.155,36.41694444444444,19
2021-01-06,9898,"HUESCA, AEROPUERTO",HUESCA,-5.4,-0.32555555555555554,42.08444444444444,546
2021-01-06,9569A,CALANDA,TERUEL,-2.4,-0.23777777777777778,40.946666666666665,466
2021-01-06,1505,LUGO AEROPUERTO,LUGO,-2.6,-7.4575000000000005,43.11138888888889,445
2021-01-06,2661,"LEÓN, VIRGEN DEL CAMINO",LEON,-5.1,-5.651111111111112,42.58833333333334,912
2021-01-06,7096B,HELLÍN,ALBACETE,-2.4,-1.7030555555555555,38.54194444444444,646
2021-01-06,5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,0.4,-6.055833333333333,36.75055555555556,27
2021-01-06,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,-2.5,-0.935,41.62083333333334,254
2021-01-06,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,3.7,-0.5708333333333333,38.282777777777774,43
2021-01-06,8500A,CASTELLÓN - ALMASSORA,CASTELLON,1.6,-0.07194444444444445,39.95722222222223,43
2021-01-06,5796,MORÓN DE LA FRONTERA,SEVILLA,1.2,-5.6113888888888885,37.16444444444444,87
2021-01-06,5047E,BAZA,GRANADA,-0.8,-2.735,37.505833333333335,785
2021-01-06,5972X,SAN FERNANDO,CADIZ,5,-6.205555555555556,36.46555555555556,28
2021-01-06,1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,0,-8.555833333333334,42.876111111111115,240
2021-01-06,0076,BARCELONA AEROPUERTO,BARCELONA,-0.5,2.0700000000000003,41.29277777777778,4
2021-01-06,4061X,QUINTANAR DE LA ORDEN,TOLEDO,-5.4,-3.0469444444444442,39.597500000000004,691
2021-01-06,3110C,BUITRAGO DEL LOZOYA,MADRID,-8.3,-3.613611111111111,41.00694444444444,1030
2021-01-06,9990X,"NAUT ARAN, ARTIES",LLEIDA,-10.7,0.8769444444444445,42.70027777777778,1161
