Nombre,lon,lat
Catedral,37.98396,-1.12867
Urbanización Joven Futura,38.00445,-1.15616
La Rotonda,37.99216,-1.13036
La Merced,37.98771,-1.12595
Estación de autobuses,37.98563,-1.13947
Hospital Reina Sofía,37.98254,-1.12118
Biblioteca Regional,37.99825,-1.13758
Estadio de La Condomina,37.98623,-1.12121
